Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Western Disciples of the Thai Forest Tradition,,,,,,,,,,,,,,,,,,
Subtitle,Abhayagiri Winter Retreat 2016,,,,,,,,,,,,,,,,,,
Code,WR2016,,,,,,,,,,,,,,,,,,
Series,Abhayagiri Winter Retreats,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP;AbhSangha,,,,,,,,,,,,,,,,,,
Start date,05/01/2016,,,,,,,,,,,,,,,,,,
End date,29/03/2016,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,Thai Forest Tradition;Western Ajahn Chah lineage,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/media/discs/winter-retreat-2016/index.html,,,,,,,,,,,,,,,,,,
Description,"During the Winter Retreat 2016 teaching sessions, Abhayagiri monastics took turns reading from senior Western disciples of the Thai Forest Tradition. Ajahn Pasanno and other teachers responded to questions after the readings.",,,,,,,,,,,,,,,,,,
Sessions,57,,,,,,,,,,,,,,,,,,
Excerpts,5,,,,,,,,,,,,,,,,,,
Tags applied,686,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,58:38,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
42,09/03/2016,2016-03-09 Debbie Reading Awareness Nameless And Stopped by Ajahn Sucitto.mp3,34:40,AP,Awareness: Nameless And Stopped,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-09%20Debbie%20Reading%20Awareness%20Nameless%20And%20Stopped%20by%20Ajahn%20Sucitto.mp3,5,,,,,2080,,,,,,,
43,10/03/2016,2016-03-10 Beth Reading Rebirth by Ajahn Pannavaddho.mp3,17:55,,Rebirth,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-10%20Beth%20Reading%20Rebirth%20by%20Ajahn%20Pannavaddho.mp3,2,,,,,1075,,,,,,,
44,11/03/2016,2016-03-11 AJ Reading Relating to Hindrances by Ajahn Tiradhammo.mp3,18:17,,Relating to Hindrances,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-11%20AJ%20Reading%20Relating%20to%20Hindrances%20by%20Ajahn%20Tiradhammo.mp3,3,,,,,1097,,,,,,,
45,13/03/2016,2016-03-13 AN Reading Daughters And Sons by Ajahn Jayasaro.mp3,42:51,,Daughters And Sons,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-13%20AN%20Reading%20Daughters%20And%20Sons%20by%20Ajahn%20Jayasaro.mp3,4,Parents,,,,2571,,,,,,,
46,14/03/2016,2016-03-14 Jivako Reading The Gate Of Relativity by Ajahn Sucitto.mp3,30:18,,The Gate Of Relativity,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-14%20Jivako%20Reading%20The%20Gate%20Of%20Relativity%20by%20Ajahn%20Sucitto.mp3,4,,,,,1818,,,,,,,
47,17/03/2016,2016-03-17 Kassapo Reading Santutthi and the Meaning of Contentment by Ajahn Amaro.mp3,16:21,AP,Santutthi and the Meaning of Contentment,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-17%20Kassapo%20Reading%20Santutthi%20and%20the%20Meaning%20of%20Contentment%20by%20Ajahn%20Amaro.mp3,3,Contentment,,,,981,,,,,,,
48,18/03/2016,2016-03-18 Kaccana Reading Prayer and Devotion by Ajahn Munindo.mp3,30:23,,Prayer and Devotion,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-18%20Kaccana%20Reading%20Prayer%20and%20Devotion%20by%20Ajahn%20Munindo.mp3,3,,,,,1823,,,,,,,
49,19/03/2016,2016-03-19 Pesalo Reading The Treasure House by Ajahn Sucitto.mp3,42:23,AP,The Treasure House,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-19%20Pesalo%20Reading%20The%20Treasure%20House%20by%20Ajahn%20Sucitto.mp3,2,,,,,2543,,,,,,,
50,20/03/2016,2016-03-20 Suhajjo Reading Basic Premises by Ajahn Thanissaro.mp3,35:34,,Basic Premises,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-20%20Suhajjo%20Reading%20Basic%20Premises%20by%20Ajahn%20Thanissaro.mp3,3,,,,,2134,,,,,,,
51,21/03/2016,2016-03-21 Khantiko Reading The First Noble Truth by Ajahn Sumedho.mp3,35:26,AP,The First Noble Truth,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-21%20Khantiko%20Reading%20The%20First%20Noble%20Truth%20by%20Ajahn%20Sumedho.mp3,2,Noble Truth of Suffering,,,,2126,,,,,,,
52,24/03/2016,2016-03-24 Gambhiro Reading Recollection of Hell Pissing on Palaces by Ajahn Thanissaro.mp3,16:27,,Recollection of Hell; Pissing on Palaces,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-24%20Gambhiro%20Reading%20Recollection%20of%20Hell%20Pissing%20on%20Palaces%20by%20Ajahn%20Thanissaro.mp3,2,,,,,987,,,,,,,
53,25/03/2016,2016-03-25 Kondanno Reading Ancient Teachings on Non Abiding Is the Sound Annoying You by Ajahn Amaro.mp3,52:36,AP,Ancient Teachings on Non Abiding; Is the Sound Annoying You?,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-25%20Kondanno%20Reading%20Ancient%20Teachings%20on%20Non%20Abiding%20Is%20the%20Sound%20Annoying%20You%20by%20Ajahn%20Amaro.mp3,7,,,,,3156,,,,,,,
54,26/03/2016,2016-03-26 Jagaro Reading The Second Noble Truth by Ajahn Sumedho.mp3,43:04,AP,The Second Noble Truth,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-26%20Jagaro%20Reading%20The%20Second%20Noble%20Truth%20by%20Ajahn%20Sumedho.mp3,2,Cause of Suffering,,,,2584,,,,,,,
55,27/03/2016,2016-03-27 Armand Reading Sense the Sacred by Ajahn Sumedho.mp3,38:56,,Sense the Sacred,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-27%20Armand%20Reading%20Sense%20the%20Sacred%20by%20Ajahn%20Sumedho.mp3,1,,,,,2336,,,,,,,
56,28/03/2016,2016-03-28 Debbie Reading Working with Perception by Ajahn Sucitto.mp3,43:36,,Working with Perception,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-28%20Debbie%20Reading%20Working%20with%20Perception%20by%20Ajahn%20Sucitto.mp3,5,Perception,,,,2616,,,,,,,
57,29/03/2016,2016-03-29 Beth Reading Parting Words by Ajahn Viradhammo.mp3,27:34,,Parting Words,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-29%20Beth%20Reading%20Parting%20Words%20by%20Ajahn%20Viradhammo.mp3,1,,,,,1654,,,,,,,
